Incumbent,BestBd,Gap,It/Node,Time
-,255.45877,-,-,0
-,255.45877,-,-,0
-,255.45877,-,-,0
-,257.35128,-,-,0
-,260.24297,-,-,0
-,260.24297,-,-,0
-,266.33172,-,-,0
-,268.13889,-,-,0
-,268.13889,-,-,0
-,274.26865,-,-,0
-,274.26865,-,-,0
-,275.84183,-,-,1
-,275.84183,-,-,1
-,276.92050,-,-,1
-,276.92050,-,-,1
-,277.27651,-,-,1
-,277.27651,-,-,1
-,277.32028,-,-,1
-,277.32028,-,-,1
-,279.05683,-,-,1
-,279.05683,-,-,1
-,279.66890,-,-,1
-,279.74927,-,-,1
-,279.74927,-,-,1
-,279.91155,-,-,1
-,279.91155,-,-,1
-,279.91155,-,-,1
-,279.91155,-,-,1
-,280.01145,-,-,2
-,280.01145,-,-,2
-,280.01145,-,-,2
-,280.01145,-,-,2
-,280.08543,-,-,2
-,280.19086,-,-,2
-,280.19086,-,-,2
-,281.17302,-,-,2
-,281.17302,-,-,2
-,281.17302,-,-,2
-,281.17302,-,-,2
-,281.17302,-,-,2
-,281.17302,-,-,2
-,281.73904,-,-,3
-,281.73904,-,59.8,5
-,281.73904,-,38.6,10
-,281.73904,-,38.2,16
-,282.64721,-,38.2,20
-,284.18886,-,38.1,25
-,287.21681,-,38.1,30
-,290.05930,-,38.0,35
-,290.99277,-,38.0,40
-,291.65891,-,37.9,45
-,295.06979,-,37.9,50
-,297.04369,-,37.8,55
-,297.51974,-,37.7,60
-,300.28582,-,37.7,65
-,300.39099,-,41.6,70
-,302.34865,-,41.5,75
-,304.62884,-,41.5,80
-,306.48627,-,41.4,85
-,307.60301,-,41.3,90
-,308.42670,-,41.2,95
-,308.50530,-,43.3,100
-,308.60864,-,43.3,105
-,308.89562,-,44.1,116
-,312.30507,-,50.6,120
-,316.97271,-,61.8,137
-,316.97271,-,67.5,140
-,316.97271,-,73.7,145
-,316.97271,-,74.9,150
-,316.97271,-,77.2,155
-,319.67472,-,79.7,160
-,319.67472,-,79.2,166
-,320.27430,-,78.7,171
-,320.27430,-,78.6,176
-,320.27430,-,78.1,180
-,320.27430,-,77.2,185
-,320.87193,-,76.2,191
-,320.87193,-,75.9,197
-,320.87193,-,75.6,200
-,322.68761,-,74.8,207
-,322.68761,-,75.6,213
-,322.68761,-,74.9,217
-,322.68761,-,75.2,221
-,324.57701,-,75.2,225
-,330.20778,-,75.7,234
-,330.20778,-,75.6,237
-,330.20778,-,76.0,241
-,330.20778,-,76.2,245
-,330.64544,-,77.0,250
384.8970427,330.64544,14.1,77.3,250
383.4681139,330.67688,13.8,77.2,254
372.4959920,330.76342,11.2,77.3,254
371.0868280,331.42999,10.7,77.3,254
369.6726145,331.42999,10.3,77.6,260
366.0949924,331.42999,9.47,77.6,260
365.6108306,331.42999,9.35,77.6,260
365.61083,331.42999,9.35,77.7,266
363.2468004,331.42999,8.76,77.8,266
363.24680,332.04347,8.59,77.8,270
363.24680,335.08329,7.75,79.4,278
363.24680,335.49833,7.64,80.3,283
363.24680,336.01424,7.50,81.0,287
363.24680,336.72578,7.30,81.9,290
363.24680,337.20439,7.17,83.0,298
363.24680,337.54093,7.08,83.8,302
363.24680,337.99252,6.95,84.4,307
363.24680,338.34858,6.85,85.3,311
363.24680,338.62327,6.78,85.9,315
363.24680,339.14324,6.64,87.1,323
363.24680,339.41394,6.56,87.8,327
363.24680,339.62533,6.50,88.3,332
363.24680,339.88174,6.43,88.7,336
363.24680,340.13558,6.36,89.2,361
363.24680,340.16421,6.35,89.3,366
363.24680,340.39818,6.29,89.9,370
363.24680,340.75653,6.19,90.8,379
363.24680,340.94370,6.14,91.2,384
363.24680,341.22684,6.06,91.5,388
